"Assistance Listings Number","Title","Types of Assistance","Department/Ind. Agency","Sub-Tier","Related Federal Assistance","Last Date Modified","Date Published","Funded","POC Information"
"84.421","Disability Innovation Fund (DIF)","B - Project Grants","EDUCATION, DEPARTMENT OF","","84.126","Oct 21, 2024","Oct 21, 2024","false","Ashley Brizzo
Department of Education, Office of Special Education and Rehabilitation Services, 400 Maryland Ave., S.W., Washington DC 20202
202-219-2181
"
"84.315","Traditionally Underserved Populations","B - Project Grants","EDUCATION, DEPARTMENT OF","OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES","N/A","Oct 21, 2024","Oct 21, 2024","true","Douglas Zhu
Department of Education, OSERS Rehabilitation Services Administration, Washington DC 20202
(202) 987-0127
"
"84.334","Gaining Early Awareness and Readiness for Undergraduate Programs","B - Project Grants","EDUCATION, DEPARTMENT OF","EDUCATION, DEPARTMENT OF","N/A","Oct 21, 2024","Oct 21, 2024","true","Gaby Watts
Office of Postsecondary Education, Department of Education, 400 Maryland Ave., SW, Washington DC 20202
(202)987-0429
"
"20.807","U.S. Merchant Marine Academy","M - Training","TRANSPORTATION, DEPARTMENT OF","MARITIME ADMINISTRATION","20.806, 11.417","Oct 21, 2024","Oct 21, 2024","true","Michael Bedryk
300 Steamboat Road, Kings Point NY 11024
516-726-5641
"
"11.043","National Weather Service Office of Science and Technology Integration Modeling Program","B - Cooperative Agreements","COMMERCE, DEPARTMENT OF","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","N/A","Oct 21, 2024","Oct 21, 2024","false","Christopher Hedge
1325 East-West Highway                              
SSMC2, Room 15440, Silver Spring MD 20910
3014279242
"
"11.038","Public Wireless Supply Chain Innovation Fund Grant Program","B - Project Grants","COMMERCE, DEPARTMENT OF","NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION","N/A","Oct 21, 2024","Oct 21, 2024","true","PWSCIF
1401 Constitution Avenue., NW,, Washington DC 20230
0000000000
"
"84.177","Rehabilitation Services Independent Living Services for Older Individuals Who are Blind","B - Project Grants","EDUCATION, DEPARTMENT OF","OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES","84.126","Oct 21, 2024","Oct 21, 2024","true","Nikki Jeffords
U.S. Department of Education, Office of Special Education and Rehabilitative Services, 400 Maryland Ave., S.W.,, Washington DC 20202
(202) 245-6387
"
"11.021","NOAA Small Business Innovation Research (SBIR) Program","B - Project Grants","COMMERCE, DEPARTMENT OF","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","N/A","Oct 21, 2024","Oct 21, 2024","true","Michele D. Pollard
1315 East-West Highway, Silver Spring MD 20910
240-419-1085
"
"84.126","Rehabilitation Services Vocational Rehabilitation Grants to States","A - Formula Grants","EDUCATION, DEPARTMENT OF","OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES","84.160, 84.187, 84.235, 84.177, 84.250, 84.161, 64.007","Oct 21, 2024","Oct 21, 2024","true","Suzanne Mitchell
Department of Education, OSERS Rehabilitation Services Administration 400 Maryland Ave., S.W., Washington  DC 20202
(202)245-6301
"
"84.329","Special Education Studies and Evaluations","B - Project Grants (Contracts)","EDUCATION, DEPARTMENT OF","INSTITUTE OF EDUCATION SCIENCES","84.326, 84.328, 84.173, 84.325, 84.324, 84.027, 84.327","Oct 21, 2024","Oct 21, 2024","true","Lauren Angelo
Department of Education, 550 12th St., SW, Room 4104, Washington DC 20208
(202) 245-7474
"
"84.250","American Indian Vocational Rehabilitation Services","B - Project Grants","EDUCATION, DEPARTMENT OF","OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES","84.126","Oct 21, 2024","Oct 21, 2024","true","Corinne Weidenthal
Department of Education, OSERS Rehabilitation Services Administration, 400 Maryland Ave., SW, Washington DC 20202
202-245-6379
"
"84.161","Rehabilitation Services Client Assistance Program","A - Formula Grants","EDUCATION, DEPARTMENT OF","OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES","84.187, 84.177, 84.126, 84.240","Oct 21, 2024","Oct 21, 2024","true","April Trice
Department of Education, OSERS Rehabilitation Services Administration, 400 Maryland Ave., SW, Washington DC 20202
(202) 245-6421
"
"11.016","Statistical, Research, and Methodology  Assistance","B - Cooperative Agreements","COMMERCE, DEPARTMENT OF","US CENSUS BUREAU","N/A","Oct 21, 2024","Oct 21, 2024","true","ADRM Agreements
4600 Silver Hill Road, Suitland MD 20746
301-763-4628
"
"84.428","Augustus F. Hawkins Centers of Excellence—Teacher Preparation and Development","B - Project Grants","EDUCATION, DEPARTMENT OF","","N/A","Oct 21, 2024","Oct 21, 2024","true","Ashley Hillary
Department of Education, OPE Augustus F. Hawkins Centers of Excellence (Hawkins) Program
400 Maryland Avenue, SW, Room 2C143, Washington DC 20202
(202) 453-7880
"
"11.468","Applied Meteorological Research","B - Cooperative Agreements","COMMERCE, DEPARTMENT OF","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","11.462, 11.432, 11.467","Oct 21, 2024","Oct 21, 2024","false","Christopher Hedge
1325 East-West Highway                              
SSMC2, Room 15440, Silver Spring MD 20910
301-427-9242
"
"97.150","Tribal Homeland Security Grant Program","B - Project Grants","HOMELAND SECURITY, DEPARTMENT OF","FEDERAL EMERGENCY MANAGEMENT AGENCY","N/A","Oct 18, 2024","Oct 18, 2024","true","Department of Homeland Security, Federal Emergency Management Agency (FEMA)
400 C Street, SW 
Washington, DC 20472, Washington DC 20472
18003686498
"
"97.149","Shelter and Services Program – Competitive","B - Project Grants","HOMELAND SECURITY, DEPARTMENT OF","FEDERAL EMERGENCY MANAGEMENT AGENCY","N/A","Oct 18, 2024","Oct 18, 2024","false","Department of Homeland Security, Federal Emergency Management Agency (FEMA)
400 C Street, S.W., 
Washington, DC 20024, Washington DC 20472
18003686498
"
"97.151","Fire Prevention & Safety",,"HOMELAND SECURITY, DEPARTMENT OF","FEDERAL EMERGENCY MANAGEMENT AGENCY","N/A","Oct 18, 2024","Oct 18, 2024","true","Department of Homeland Security, Federal Emergency Management Agency (FEMA)
400 C Street, SW 
Washington, DC 20472, Washington DC 20472
(866) 274-0960
"
"66.437","Geographic Programs – Long Island Sound Program","B - Cooperative Agreements (Discretionary Grants)","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Oct 17, 2024","Oct 17, 2024","true","Nicole Tachiki
USEPA Long Island Sound Office, Government Center, 888 Washington Boulevard, Suite 9-11, Stamford CT 06904
203-977-1545
"
"97.142","National Computer Forensics Institute Facility Expansion Grant Program","B - Project Grants","HOMELAND SECURITY, DEPARTMENT OF","U.S. SECRET SERVICE","N/A","Oct 16, 2024","Oct 16, 2024","false","Brent Harlan
2020 Valleydale Road, Suite 209, Hoover AL 35244
202-355-3146
"
"97.146","Alliance for System Safety of Unmanned Aircraft Systems through Research Excellence","B - Cooperative Agreements","HOMELAND SECURITY, DEPARTMENT OF","FEDERAL EMERGENCY MANAGEMENT AGENCY","N/A","Oct 16, 2024","Oct 16, 2024","true","Department of Homeland Security, Federal Emergency Management Agency (FEMA)
Department of Homeland Security / FEMA / 
 400 C St. SW,, Washington DC 20472
18003686498
"
"97.152","Rehabilitation of High Hazard Potential Dams Grant Program","B - Project Grants","HOMELAND SECURITY, DEPARTMENT OF","FEDERAL EMERGENCY MANAGEMENT AGENCY","N/A","Oct 15, 2024","Oct 15, 2024","true","Department of Homeland Security, Federal Emergency Management Agency (FEMA)
400 C Street S.W., Washington DC 20472
202-805-8655
"
"97.147","National Earthquake Hazards Reduction Program (NEHRP) Multi-State and National Assistance (MSNEA) Grant Program","B - Project Grants (Capacity Building and Complaint Processing, Training)","HOMELAND SECURITY, DEPARTMENT OF","FEDERAL EMERGENCY MANAGEMENT AGENCY","N/A","Oct 15, 2024","Oct 15, 2024","true","Jon Foster
400 C Street, SW
6th Floor Washington, DC 20472, Washington DC 20472
2027171601
"
"97.148","National Cybersecurity Preparedness Consortium","B - Cooperative Agreements","HOMELAND SECURITY, DEPARTMENT OF","FEDERAL EMERGENCY MANAGEMENT AGENCY","N/A","Oct 15, 2024","Oct 15, 2024","false","Department of Homeland Security, Federal Emergency Management Agency (FEMA)
Department of Homeland Security / FEMA / Public Assistance Division, Control Desk
6th Floor, 500 C St. SW,, Washington DC 20472
18003686498
"
"12.355","Pest Management and Vector Control Research","B - Cooperative Agreements","DEPT OF DEFENSE","DEPT OF THE ARMY","N/A","Oct 15, 2024","Oct 15, 2024","false","Richard W. Totten
110 Thomas Johnson Drive, Frederick MD 21702
520-944-8255
"
"11.432","National Oceanic and Atmospheric Administration (NOAA) Cooperative Institutes","B - Project Grants (Cooperative Agreements)","COMMERCE, DEPARTMENT OF","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","N/A","Oct 15, 2024","Oct 15, 2024","true","Cooperative Institute Administration Office
1315 East-West Highway, Silver Spring MD 20910
301-734-1180
"
"64.024","VA Homeless Providers Grant and Per Diem Program","B - Project Grants","VETERANS AFFAIRS, DEPARTMENT OF","VA HEALTH ADMINISTRATION CENTER","64.056, 64.033","Oct 10, 2024","Oct 10, 2024","true","Grant and Per Diem
810 Vermont Ave NW, Washington DC 20420
GPDgrants@va.gov
"
"12.632","Legacy Resource Management Program","B - Cooperative Agreements","DEPT OF DEFENSE","IMMEDIATE OFFICE OF THE SECRETARY OF DEFENSE","N/A","Oct 10, 2024","Oct 10, 2024","true","Elizabeth Galli-Noble
DoD Legacy Resource Management Program 
Office of Assistant Secretary of Defense for Energy, Installations and Environment
4800 Mark Center Drive, Suite 16F16, Alexandria VA 22350
406-581-8148
"
"64.204","Veterans Legacy Grants Program","B - Project Grants (Discretionary)","VETERANS AFFAIRS, DEPARTMENT OF","DIRECTORY/NATIONAL CEMETERY ADMINISTRATION","N/A","Oct 7, 2024","Oct 7, 2024","true","Veterans Legacy Program
810 Vermont Avenue NW, Washington DC 20420
vlgp@va.gov
"
"64.035","Veterans Transportation Program","B - Project Grants","VETERANS AFFAIRS, DEPARTMENT OF","VA HEALTH ADMINISTRATION CENTER","N/A","Oct 7, 2024","Oct 7, 2024","true","HRTG Program Manager
2957 Clairmont Road, Suite 200, Atlanta GA 30329
877-222-8387
"
"15.629","Great Ape Conservation Fund - Africa","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","15.645, 15.620, 15.621, 15.619","Oct 2, 2024","Oct 2, 2024","true","Chief,
Division of International Conservation
U.S. Fish and Wildlife Service
Department of the Interior
5275 Leesburg Pike, MS:IA
, Falls Church VA 22041-3803
(703) 358-1754
"
"15.608","Fish and Aquatic Conservation - Aquatic Invasive Species","B - Cooperative Agreements (Discretionary Grants)","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","N/A","Oct 2, 2024","Oct 2, 2024","true","Marilyn Bisenieks
Fish and Aquatic Conservation, U.S. Fish and Wildlife Service, Department of the Interior, 5275 Leesburg Pike, MS: FAC, , Falls Church VA 22041-3803
(703) 358-2217
"
"93.679","EHB-Benchmark Plan Modernization Grant for States with a Federally-facilitated Exchange","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR MEDICARE AND MEDICAID SERVICES","N/A","Oct 1, 2024","Oct 1, 2024","true","Valisha Price
7500 Security Boulevard, Windsor Mill MD 21244
3014924400
"
"16.576","Crime Victim Compensation","A - Formula Grants","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","16.575","Sep 26, 2024","Sep 26, 2024","false","Office of Justice Programs 
U.S. Department of Justice
Office of Justice Programs
Office for Victims of Crime
State Compensation and Assistance Division
810 Seventh Street, NW, Washington DC 20531
(202) 307-5983
"
"10.645","Farm to School State Formula Grant","A - Formula Grants","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","N/A","Sep 24, 2024","Sep 24, 2024","false","Julie Brewer
1320 Braddock Place, Alexandria VA 22314
703-457-7803
"
"15.099","Abandoned Hardrock Mine Reclamation (AHMR/AML) Grants","B - Project Grants (for specified projects)","INTERIOR, DEPARTMENT OF THE","DEPARTMENTAL OFFICES","15.018","Sep 23, 2024","Sep 23, 2024","true","Gregory Nottingham
U.S. Department of the Interior
Office of Environmental Policy and Compliance
1849 C Street, NW, Room 261, Washington DC 20240
202-513-0361
"
"15.619","Rhinoceros and Tiger Conservation Fund","B - Project Grants","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","15.629, 15.645, 15.620, 15.621","Sep 13, 2024","Sep 13, 2024","true","Chief
Division of International Conservation
U.S. Fish and Wildlife Service
Department of the Interior,
5275 Leesburg Pike, MS: IA, Falls Church VA 22041-3803
(703) 358 1754
"
"15.069","Zoonotic Disease Initiative","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","false","Anna-Marie York
U.S. Fish and Wildlife Service, Department of the Interior, 5275 Leesburg Pike MS: SA, Falls Church VA 22041
7033581881
"
"15.678","Cooperative Ecosystem Studies Units","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","false","Anna-Marie York
U.S. Fish and Wildlife Service
5275 Leesburg Pike MS: SA , Falls Church VA 22041-3803
 703-358-1881
"
"15.961","Federal Historic Preservation Tax Incentive","K - Advisory Services on Compliance","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","15.914, 15.904, 15.915","Sep 13, 2024","Sep 13, 2024","true","Brian Goeken
Technical Preservation Services
National Park Service, Washington DC 20240
(202)354-2033
"
"15.928","Battlefield Land Acquisition Grants","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","James Modrick
1849 C Street NW
Mail Stop 7228, Washington DC 20240
202-354-2037
"
"15.965","Groundwork - Brownfield to Greenspace","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Heather Passchier
1849 C Street NW, Washington DC 20240
202-513-7057
"
"15.935","National Trails System Projects","B - Project Grants","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","John Cannella
1849 C Street, NW.,, Washington DC 20240
(202)660-5480
"
"15.943","Challenge Cost Share","C - Direct Payments for Specified Use","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Stephan Nofield
1849 C Street, NW.,, Washington DC 20240
2023546900
"
"15.956","Cooperative Management of Ebey's Landing National Historical Reserve.","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Marie Shimada
Pacific West Regional Office 909 First Ave #500, Seattle WA 98104
206-220-4000
"
"15.958","Route 66 Corridor Preservation","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Kaisa Barthuli
1100 Old Santa Fe Trail
P. O. Box 728, Santa Fe NM 87505
505-988-6701
"
"15.688","Great Lakes Fish and Wildlife Restoration Act","B - Project Grants","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Rick Westerhof
US Fish & Wildlife Service
Midwest Region - Fish and Aquatic Conservation, Elmira MI 49730
231-282-2736
"
"15.923","National Center for Preservation Technology and Training","B - Cooperative Agreements (Discretionary Grants)","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Hampton Tucker
12795 West Alameda Parkway, Lakewood CO 80228
202 309-8239
"
"15.966","Historic Preservation Fund Grants-in-Aid for Competitive Grants","B - Project Grants","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","State, Tribal, Local Plans & Grants Division
1849 C St. NW
Mailstop 7360, Washington DC 20240
2023542020
"
"15.938","Boston African-American National Historic Site","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Michael Creasey, Superintendent
National Parks of Boston, Boston MA 02109
(617)242-5644
"
"15.637","Migratory Bird Joint Ventures","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","15.631, 15.635, 15.623, 15.647","Sep 13, 2024","Sep 13, 2024","true","Joint Venture Liaison Officer,
Division of Bird Habitat Conservation, Department of the Interior, Fish and Wildlife Service, MS: MBSP, 5275 Leesburg Pike,, Falls Church VA 22041-3803
(703 ) 358-1784
"
"15.944","Natural Resource Stewardship","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Karel Morales 
1201 Eye Street NW, Washington DC 20024
(202)513-7204 
"
"15.668","Coastal Impact Assistance","A - Formula Grants","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","11.473, 11.419, 11.478, 11.474, 11.426, 11.420","Sep 13, 2024","Sep 13, 2024","false","Wildlife and Sport Fish Restoration 
U.S. Fish and Wildlife Service, 5275 Leesburg Pike, MS: WSFR, Falls Church VA 22041-3803
(703) 358-2156
"
"15.962","National Wild and Scenic Rivers System","B - Project Grants (Cooperative Agreements)","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Corita Waters
National Wild and Scenic River 
National Park Service, Washington DC 20240
(202) 641-7377
"
"15.954","National Park Service Conservation, Protection, Outreach, and Education","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Bureau Financial Assistance Chief
National Park Service, 12795 W. Alameda Parkway 
, Lakewood CO 80228
202-697-2035
"
"15.942","Environmental Outreach and Conservation - North Cascades","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Denise Shultz
North Cascades National Park Service Complex, Denise Shultz, , 810 State Route 20,, Sedro Woolley WA 98284
(360) 854-7302.
"
"15.689","Great Ape Conservation Fund-Asia","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Division of International Conservation
U.S. Fish and Wildlife Service
Department of the Interior
5275 Leesburg Pike, MS: IA, Falls Church VA 22041
7033581754
"
"15.929","Save America's Treasures","B - Project Grants","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","15.904","Sep 13, 2024","Sep 13, 2024","true","State, Tribal, Local Plans & Grants Division
1849 C St. NW
Mailstop 7360, Washington DC 20240
2023542020
"
"15.904","Historic Preservation Fund Grants-In-Aid","A - Formula Grants (Apportionments)","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","15.929","Sep 13, 2024","Sep 13, 2024","true","Megan Brown
National Park Service
Department of Interior
1849 C Street NW Mail Stop 7360, Washington DC 20005
(202) 354-2020
"
"15.955","Martin Luther King Junior National Historic Site and Preservation District","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Judy Forte
National Park Service, Dept MLK-NHS
450 Auburn Avenue NE, Atlanta GA 30303
(404)331-2022
"
"15.933","Preservation of Japanese American Confinement Sites","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Kara Miyagishima
National Park Service - Intermountain Regional Office, 12795 W. Alameda Parkway, Lakewood CO 80228
(303) 969-2885.
"
"15.932","Preservation of Historic Structures on the Campuses of Historically Black Colleges and Universities (HBCUs).","B - Project Grants","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","State, Tribal, Local Plans & Grants Division
1849 C St. NW
Mailstop 7360, Washington DC 20240
(202) 354-2020.
"
"15.645","Marine Turtle Conservation Fund","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","15.629, 15.620, 15.621, 15.619","Sep 13, 2024","Sep 13, 2024","true","Chief,
Division of International Conservation
U.S. Fish and Wildlife Service
Department of the Interior
5275 Leesburg Pike, MS: IA
, Falls Church VA 22041-3803
(703) 358-1754
"
"15.964","9/11 Memorial Act Grant Program","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Karyn Ferro
Office of Partnerships and Philanthropic Stewardship
National Park Service
1849 C Street, NW, Washington DC 20239
(202)354-2172
"
"15.089","DOI - HQ Experienced Services Program","B - Cooperative Agreements (Discretionary Grants)","INTERIOR, DEPARTMENT OF THE","DEPARTMENTAL OFFICES","N/A","Sep 13, 2024","Sep 13, 2024","true","George McDonald
1849 C Street NW Room 5140, Washington DC 20240
(202) 997-5189
"
"15.664","Fish and Wildlife Coordination and Assistance","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Policy Branch, Financial Assistance Support and Oversight Division
Wildlife Sport Fish Restoration Program, 5275 Leesburg Pike, MS-WSFR,, Falls Church VA 22041-3803
(703)358-2701
"
"15.687","Great Lakes Sea Lamprey Control","B - Project Grants","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Jessica Barber
1095 Cornerstone Dr, Marquette MI 49855
(906) 869-0441
"
"15.963","Southwest Border Resource Protection Program","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Krista Muddle
129 W. Alameda Parkway, Lakewood CO 80225
(303)969-2356
"
"15.690","Rhinoceros Conservation Fund-Africa","B - Project Grants","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Division of International Conservation
U.S. Fish and Wildlife Service
Department of the Interior
5275 Leesburg Pike, MS: IA, Falls Church VA 22041
7033581754
"
"15.941","Mississippi National River and Recreation Area State and Local Assistance","B - Project Grants (Cooperative Agreements)","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 13, 2024","Sep 13, 2024","true","Denise St. Marie,
111 E Kellogg Blvd., Suite 105, St. Paul MN 55101
(651) 290-3030 ext. 226.
"
"10.533","SNAP-Ed Toolkit","B - Cooperative Agreements","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","N/A","Sep 11, 2024","Sep 11, 2024","true","Divyani Pendleton
Food and Nutrition National Office
1320 Braddock Place, Alexandria VA 22314
703-305-2031
"
"15.912","National Historic Landmark","K - Advisory Services and Counseling","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","15.914, 15.915","Sep 3, 2024","Sep 3, 2024","false","Sherry Frear
National Park Service, 1849 C Street NW (mail stop 7228), Washington DC 20240
(202) 354-2003
"
"15.408","Bureau of Ocean Energy Management Renewable Energy","L - Dissemination of Technical Information","INTERIOR, DEPARTMENT OF THE","BUREAU OF OCEAN ENERGY MANAGEMENT","15.424, 15.423","Sep 3, 2024","Sep 3, 2024","true","Jess Stromberg
45600 Woodland Road
Sterling, VA 20166, Sterling VA 20166
703-787-1730
"
"15.926","American Battlefield Protection","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 3, 2024","Sep 3, 2024","true","James Modrick
American Battlefield Protection Program 
1849 C Street, NW
Room Mail Stop 7228, Washington DC 20240
202-354-2037
"
"15.925","National Maritime Heritage Grants","B - Project Grants","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 3, 2024","Sep 3, 2024","true","Turkiya Lowe
1849 C St NW, Mail Stop 7508, Washington DC 20240
202-354-2266
"
"15.922","Native American Graves Protection and Repatriation Act","B - Project Grants (Discretionary)","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 3, 2024","Sep 3, 2024","true","Angelina Miller
1849 C Street NW
Mail Stop 7360, Washington DC 20240
202-354-2201
"
"15.407","Keweenaw National Historical Park (NHP) Preservation Grants","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 3, 2024","Sep 3, 2024","true","Heather Boyd (Bies) 
Isle Royale National Park & Keweenaw National Historical Park
800 E. Lakeshore Drive, Houghton MI 49931
906-370-3448
"
"15.406","National Park Service Centennial Challenge","C - Direct Payments for Specified Use","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 3, 2024","Sep 3, 2024","true","Karyn Ferro
Office of Partnerships and Philanthropic Stewardship
Department of Interior
National Park Service
1849 C Street, NW, Washington DC 20240
2023542172
"
"15.079","Experienced Services Program (ESP)","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","BUREAU OF OCEAN ENERGY MANAGEMENT","15.019, 15.016","Sep 3, 2024","Sep 3, 2024","true","Deanna Benedetti
Bureau of Ocean Energy Management
45600 Woodland Road, Sterling VA 20166
907-306-4863
"
"15.071","Pacific Northwest and Hawaiian Islands Arts","B - Project Grants","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Sep 3, 2024","Sep 3, 2024","true","Bureau Financial Assistance Chief
National Park Service - Alaska Region
240 W. 5th Ave., Anchorage AK 99501
202-697-2035
"
"15.921","Rivers, Trails and Conservation Assistance","K - Advisory Services and Counseling","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","15.916","Aug 29, 2024","Aug 29, 2024","true","Stephan Nofield
1849 C Street, NW., (ORG CODE 2240), Washington DC 20240
(202) 354-6922
"
"15.969","National Wildland Fire Management and Natural Resource Training and Workforce Development","B - Cooperative Agreements (Discretionary Grants)","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Aug 29, 2024","Aug 29, 2024","true","Heidi Sage
National Park Service
1849 C Street NW, Washington DC 20240
303-969-2065
"
"15.930","Chesapeake Bay Gateways Network","B - Project Grants (Cooperative Agreements)","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Aug 29, 2024","Aug 29, 2024","true","NER Chief Financial Assistance Program
Department of the Interior, National Park Service, US Custom House, 200 Chestnut Street - 3rd Floor, Philadelphia PA 19106
(215) 597-9153
"
"15.916","Outdoor Recreation Acquisition, Development and Planning","B - Project Grants","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Aug 29, 2024","Aug 29, 2024","true","Kelvin Delaney
State and Local Assistance Program
1849 C Street, NW MS 1353 , Washington DC 20240
7193577331
"
"15.946","Cultural Resources Management","B - Cooperative Agreements","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","N/A","Aug 29, 2024","Aug 29, 2024","true","Joy Beasley
U.S. Department of the Interior, 1849 C Street NW, Room #2737, Washington  DC 20240
(202)208-7625
"
