Program Number,Program Title,Types of Assistance,Department/Ind. Agency,Sub-Tier,Related Federal Assistance,Last Date Modified,Date Published,Funded,POC Information
84.341,Deleted,,"EDUCATION, DEPARTMENT OF",,,"May 6, 2008",,,
84.344,Deleted,,"EDUCATION, DEPARTMENT OF",,,"May 6, 2008",,,
59.002,Deleted,,SMALL BUSINESS ADMINISTRATION,,,"Feb 14, 2008",,,
59.005,Deleted,,SMALL BUSINESS ADMINISTRATION,,,"Feb 14, 2008",,,
84.255,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Feb 14, 2008",,,
84.346,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Feb 14, 2008",,,
14.512,Deleted,,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",Office of Policy Development and Research,,"Dec 12, 2007",,,
16.542,Deleted,,"JUSTICE, DEPARTMENT OF",,,"Dec 12, 2007",,,
16.563,Deleted,,"JUSTICE, DEPARTMENT OF",,,"Dec 12, 2007",,,
16.592,Deleted,,"JUSTICE, DEPARTMENT OF",,,"Dec 12, 2007",,,
16.732,Deleted,,"JUSTICE, DEPARTMENT OF",,,"Dec 12, 2007",,,
81.039,Deleted,,"ENERGY, DEPARTMENT OF",,,"Dec 7, 2007",,,
20.906,Deleted,,"TRANSPORTATION, DEPARTMENT OF",OFFICE OF THE SECRETARY,,"Dec 27, 2006",,,
66.311,Assistance to Non-Profit Organizations with Activities Relating to Environmental Justice,,ENVIRONMENTAL PROTECTION AGENCY,,,"Nov 21, 2006",,,
93.114,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Ii,,"Oct 11, 2006",,,
93.115,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Ii,,"Oct 11, 2006",,,
93.894,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"Oct 11, 2006",,,
93.302,"Healthy Schools, Healthy Communities",,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Sep 26, 2006",,,
66.115,"Surveys, Studies, Investigations, Training, Demonstrations, and Special Purpose Grants for EPA Region 10 Regional Geographic Initiative",,ENVIRONMENTAL PROTECTION AGENCY,ASSISTANT ADMINISTRATOR FOR WATER,,"Sep 21, 2006",,,
10.062,Deleted,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 9, 2006",,,
20.222,Highways for LIFE,,"TRANSPORTATION, DEPARTMENT OF",FEDERAL HIGHWAY ADMINISTRATION,,"May 9, 2006",,,
17.202,Deleted,,"LABOR, DEPARTMENT OF",EMPLOYMENT AND TRAINING ADMINISTRATION,,"May 4, 2006",,,
17.203,Deleted,,"LABOR, DEPARTMENT OF",EMPLOYMENT AND TRAINING ADMINISTRATION,,"May 4, 2006",,,
96.003,Deleted,,SOCIAL SECURITY ADMINISTRATION,,,"May 4, 2006",,,
17.257,Deleted,,"LABOR, DEPARTMENT OF",EMPLOYMENT AND TRAINING ADMINISTRATION,,"May 1, 2006",,,
17.263,Deleted,,"LABOR, DEPARTMENT OF",EMPLOYMENT AND TRAINING ADMINISTRATION,,"May 1, 2006",,,
84.319,Deleted,,"EDUCATION, DEPARTMENT OF",,,"May 1, 2006",,,
16.561,Deleted,,"JUSTICE, DEPARTMENT OF",,,"Apr 30, 2006",,,
93.390,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",NATIONAL INSTITUTES OF HEALTH,,"Apr 26, 2006",,,
16.564,Deleted,,"JUSTICE, DEPARTMENT OF",,,"Apr 21, 2006",,,
16.565,Deleted,,"JUSTICE, DEPARTMENT OF",,,"Apr 21, 2006",,,
11.027,Deleted,,"COMMERCE, DEPARTMENT OF",ECONOMICS AND STATISTICS ADMINISTRATION/UNDER SECRETARY FOR ECONOMIC AFFAIRS,,"Mar 15, 2006",,,
19.413,Deleted,,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",,"Mar 2, 2006",,,
66.606,"Surveys, Studies, Investigations and Special Purpose Grants",,ENVIRONMENTAL PROTECTION AGENCY,IMMEDIATE OFFICE OF THE ADMINISTRATOR OF EPA,,"Feb 28, 2006",,,
66.114,Environmental Protection Consolidated Grants-Program Support,,ENVIRONMENTAL PROTECTION AGENCY,IMMEDIATE OFFICE OF THE ADMINISTRATOR OF EPA,,"Feb 16, 2006",,,
15.919,Deleted,,"INTERIOR, DEPARTMENT OF THE",,,"Nov 28, 2005",,,
97.054,Community Emergency Response Teams,,"HOMELAND SECURITY, DEPARTMENT OF",,,"Nov 18, 2005",,,
14.521,Universities Rebuilding America Program - Community Design,,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",Office of Policy Development and Research,,"Nov 1, 2005",,,
97.038,Deleted,,"HOMELAND SECURITY, DEPARTMENT OF",,,"Oct 20, 2005",,,
97.051,Deleted,,"HOMELAND SECURITY, DEPARTMENT OF",,,"Oct 20, 2005",,,
93.050,Geosciences,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",ADMINISTRATION ON AGING,,"Sep 19, 2005",,,
66.307,Environmental Justice Training and Fellowship Assistance,,ENVIRONMENTAL PROTECTION AGENCY,,,"Sep 16, 2005",,,
66.308,Environmental Justice Research Assistance,,ENVIRONMENTAL PROTECTION AGENCY,,,"Sep 16, 2005",,,
16.471,FORENSIC CASEWORK DNA BACKLOG REDUCTION PROGRAM,,"JUSTICE, DEPARTMENT OF","UPPER(""National Institute of Justice"")",,"Sep 13, 2005",,,
16.743,FORENSIC CASEWORK DNA BACKLOG REDUCTION PROGRAM,,"JUSTICE, DEPARTMENT OF","UPPER(""National Institute of Justice"")",,"Sep 13, 2005",,,
93.108,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Ii,,"Jul 21, 2005",,,
20.230,Crash Data Improvement Program,,"TRANSPORTATION, DEPARTMENT OF",FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,,"Jun 29, 2005",,,
93.953,Trauma Care Systems Planning and Development,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"Jun 29, 2005",,,
66.009,Deleted,,ENVIRONMENTAL PROTECTION AGENCY,"Office of Air, Noise, and Radiation",,"Jun 27, 2005",,,
66.500,Deleted,,ENVIRONMENTAL PROTECTION AGENCY,ASSISTANT ADMINISTRATOR FOR RESEARCH AND DEVELOPMENT,,"Jun 27, 2005",,,
20.502,Deleted,,"TRANSPORTATION, DEPARTMENT OF",FEDERAL TRANSIT ADMINISTRATION,,"Jun 10, 2005",,,
20.503,Deleted,,"TRANSPORTATION, DEPARTMENT OF",FEDERAL TRANSIT ADMINISTRATION,,"Jun 10, 2005",,,
20.512,Deleted,,"TRANSPORTATION, DEPARTMENT OF",FEDERAL TRANSIT ADMINISTRATION,,"Jun 10, 2005",,,
20.805,Deleted,,"TRANSPORTATION, DEPARTMENT OF",MARITIME ADMINISTRATION,,"Jun 10, 2005",,,
10.570,Deleted,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 4, 2005",,,
84.302,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jun 4, 2005",,,
93.955,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"May 26, 2005",,,
93.956,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"May 26, 2005",,,
93.957,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"May 26, 2005",,,
23.008,Appalachian Local Access Roads,,APPALACHIAN REGIONAL COMMISSION,,,"May 18, 2005",,,
93.151,Health Center Grants for Homeless Populations,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Ii,,"May 18, 2005",,,
93.245,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Ii,,"May 18, 2005",,,
93.246,Health Centers Grants for Migrant and Seasonal Farmworkers,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Ii,,"May 18, 2005",,,
93.263,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Ii,,"May 18, 2005",,,
93.927,Health Centers Grants for Residents of Public Housing,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"May 18, 2005",,,
42.003,Deleted,,LIBRARY OF CONGRESS,,,"May 5, 2005",,,
42.006,Deleted,,LIBRARY OF CONGRESS,,,"May 5, 2005",,,
42.007,Deleted,,LIBRARY OF CONGRESS,,,"May 5, 2005",,,
19.414,Deleted,,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",,"Apr 29, 2005",,,
19.407,Deleted,,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",,"Apr 8, 2005",,,
19.424,Deleted,,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",,"Apr 8, 2005",,,
12.000,Issue of Department Of Defense excess equipment,,DEPT OF DEFENSE,,,"Mar 23, 2005",,,
66.476,Deleted,,ENVIRONMENTAL PROTECTION AGENCY,ASSISTANT ADMINISTRATOR FOR WATER,,"Feb 15, 2005",,,
93.447,State Health Fraud Task Force Grants,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",FOOD AND DRUG ADMINISTRATION,,"Dec 21, 2004",,,
16.220,"Law Enforcement Assistance_Narcotics and Dangerous Drugs_Registration of Manufacturers, Distributors, and Dispensers of Controlled Substances",,"JUSTICE, DEPARTMENT OF",,,"Aug 24, 2004",,,
16.729,Drug-Free Communities Support Program Grants,,"JUSTICE, DEPARTMENT OF",,,"Aug 23, 2004",,,
21.052,"Alcohol, Tobacco, and Firearms_Training Assistance",,"TREASURY, DEPARTMENT OF THE","Bureau of Alcohol, Tobacco, and Firearms",,"Aug 5, 2004",,,
21.053,Gang Resistance Education and Training,,"TREASURY, DEPARTMENT OF THE","Bureau of Alcohol, Tobacco, and Firearms",,"Jul 29, 2004",,,
10.581,Deleted,,"AGRICULTURE, DEPARTMENT OF",,,"Jul 26, 2004",,,
10.800,Deleted,,"AGRICULTURE, DEPARTMENT OF",,,"Jul 15, 2004",,,
11.458,Deleted,,"COMMERCE, DEPARTMENT OF",NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,,"Jul 15, 2004",,,
11.470,Deleted,,"COMMERCE, DEPARTMENT OF",NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,,"Jul 15, 2004",,,
17.006,Deleted,,"LABOR, DEPARTMENT OF",BUREAU OF LABOR STATISTICS,,"Jul 15, 2004",,,
19.404,Deleted,,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",,"Jul 15, 2004",,,
19.405,Deleted,,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",,"Jul 15, 2004",,,
19.411,Deleted,,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",,"Jul 15, 2004",,,
19.419,Deleted,,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",,"Jul 15, 2004",,,
19.420,Deleted,,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",,"Jul 15, 2004",,,
19.422,Deleted,,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF",,"Jul 15, 2004",,,
20.804,Deleted,,"TRANSPORTATION, DEPARTMENT OF",MARITIME ADMINISTRATION,,"Jul 15, 2004",,,
20.908,Deleted,,"TRANSPORTATION, DEPARTMENT OF",OFFICE OF THE SECRETARY,,"Jul 15, 2004",,,
45.026,Deleted,,NATIONAL ENDOWMENT FOR THE ARTS,,,"Jul 15, 2004",,,
45.027,Deleted,,NATIONAL ENDOWMENT FOR THE ARTS,,,"Jul 15, 2004",,,
45.166,Deleted,,NATIONAL ENDOWMENT FOR THE HUMANITIES,,,"Jul 15, 2004",,,
45.167,Deleted,,NATIONAL ENDOWMENT FOR THE HUMANITIES,,,"Jul 15, 2004",,,
66.807,Deleted,,ENVIRONMENTAL PROTECTION AGENCY,ASST ADMINISTRATOR FOR SOLID WASTE AND EMERGENCY RESPONSE,,"Jul 15, 2004",,,
77.001,Deleted,,NUCLEAR REGULATORY COMMISSION,,,"Jul 15, 2004",,,
77.005,Deleted,,NUCLEAR REGULATORY COMMISSION,,,"Jul 15, 2004",,,
81.082,Deleted,,"ENERGY, DEPARTMENT OF",,,"Jul 15, 2004",,,
81.116,Deleted,,"ENERGY, DEPARTMENT OF",,,"Jul 15, 2004",,,
81.120,Deleted,,"ENERGY, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.168,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.195,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.209,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.210,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.221,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.281,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.294,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.296,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.297,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.306,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.307,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.308,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.309,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.314,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.316,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.320,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.321,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.322,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.339,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
84.348,Deleted,,"EDUCATION, DEPARTMENT OF",,,"Jul 15, 2004",,,
93.248,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Ii,,"Jul 15, 2004",,,
93.277,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Ii,,"Jul 15, 2004",,,
93.278,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Ii,,"Jul 15, 2004",,,
93.287,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Ii,,"Jul 15, 2004",,,
93.306,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",NATIONAL INSTITUTES OF HEALTH,,"Jul 15, 2004",,,
93.309,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",NATIONAL INSTITUTES OF HEALTH,,"Jul 15, 2004",,,
93.371,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",NATIONAL INSTITUTES OF HEALTH,,"Jul 15, 2004",,,
93.375,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",NATIONAL INSTITUTES OF HEALTH,,"Jul 15, 2004",,,
93.821,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"Jul 15, 2004",,,
93.862,Genetics and Developmental Biology Research and Research Training,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"Jul 15, 2004",,,
93.864,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"Jul 15, 2004",,,
93.880,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"Jul 15, 2004",,,
93.886,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"Jul 15, 2004",,,
93.895,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"Jul 15, 2004",,,
93.896,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"Jul 15, 2004",,,
93.897,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"Jul 15, 2004",,,
93.929,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"Jul 15, 2004",,,
93.960,Special Minority Initiatives,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"Jul 15, 2004",,,
93.984,Deleted,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"Jul 15, 2004",,,
96.005,Deleted,,SOCIAL SECURITY ADMINISTRATION,,,"Jul 15, 2004",,,
97.035,Deleted,,"HOMELAND SECURITY, DEPARTMENT OF",,,"Jul 15, 2004",,,
97.037,Deleted,,"HOMELAND SECURITY, DEPARTMENT OF",,,"Jul 15, 2004",,,
64.129,Monthly Allowance for Certain Children of Vietnam Veterans,,"TRANSPORTATION, DEPARTMENT OF",,,"Jul 14, 2004",,,
93.782,Medicare Transitional Drug Assistance Program for Territories,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",CENTERS FOR MEDICARE AND MEDICAID SERVICES,,"Jul 14, 2004",,,
97.017,Pre-Disaster Mitigation (PDM) Competitive Grants,,"HOMELAND SECURITY, DEPARTMENT OF",,,"Jul 14, 2004",,,
97.063,97.063 Pre-Disaster Mitigation Disaster Resistant Universities,,"HOMELAND SECURITY, DEPARTMENT OF",,,"Jul 14, 2004",,,
10.083,Tobacco Loss Assistance Program,,"AGRICULTURE, DEPARTMENT OF",,,"Jul 12, 2004",,,
59.047,Pre Disaster Mitigation Loan Program,,SMALL BUSINESS ADMINISTRATION,,,"Jul 12, 2004",,,
59.048,Military Reserve Economic Injury Loan,,SMALL BUSINESS ADMINISTRATION,,,"Jul 12, 2004",,,
16.711,Deleted,,"JUSTICE, DEPARTMENT OF",,,"Jun 30, 2004",,,
93.106,Minority International Research Training Grant in the Biomedical and Behavioral Sciences,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Ii,,"Jun 30, 2004",,,
93.168,International Cooperative Biodiversity Groups Program,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Ii,,"Jun 30, 2004",,,
93.934,Consolidated  into 93.989,,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Public Health Service - Iii,,"Jun 30, 2004",,,
00.001,Agricultural Production Stabilization,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.002,Cooperative Forestry Research,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.003,Cooperative Extension Service,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.004,Economic Research Service,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.005,Farmers Home Administration_Financial Assistance to Small Towns and Rural Groups,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.006,Farmers Home Administration_Housing for Senior Citizens,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.007,Farm Forestry Loans,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.008,Farmers Home Administration_Loans for Recreational Purposes,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.009,Farmers Home Administration_Rural Renewal Loans to Public Agencies,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.010,Forestry Research,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.011,"Land Stabilization, Conservation, and Erosion Control in Appalachia",,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.012,Timber Development Organizations in Appalachia,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.013,Administration and Research in Economic Development Programs in Appalachia,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.014,Cropland Adjustment Program,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.015,"Payments to Counties, National Grasslands, and Land Utilization Projects",,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.016,Payments to States with National Forests,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.017,Appalachian Region Conservation,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.018,Agricultural Market Supervision and Regulation,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.019,Agricultural Experiment Stations,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.020,National Forests_Shared Revenues,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.021,Timber Management,,"AGRICULTURE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.022,Administration and Research in Economic Development Programs in Appalachia,,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.023,Community Relations Service,,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.024,Development of Ports,,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.025,Economic Development Districts,,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.026,Grants and Loans for Public Works and Development Facilities,,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.027,Gross National Product Estimates,,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.028,Highway Beautification,,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.029,Highway Planning and Construction,,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.030,Industry and Commodity Information,,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.031,Regional Action Planning Commissions,,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.032,State Technical Services Program,,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.033,Supplemental Grants-in-Aid for Appalachia,,"COMMERCE, DEPARTMENT OF",,,"Jun 21, 2004",,,
00.034,Drainage Improvement,,DEPT OF DEFENSE,,,"Jun 21, 2004",,,
00.035,"Flood, Hurricane or Abnormal Tide Protection",,DEPT OF DEFENSE,,,"Jun 21, 2004",,,
00.036,Health Benefits for Uniformed Military Servicemen and Dependents,,DEPT OF DEFENSE,,,"Jun 21, 2004",,,
00.037,Hydroelectric Power Development,,DEPT OF DEFENSE,,,"Jun 21, 2004",,,
00.038,Information and Guidance on Flood Hazards,,DEPT OF DEFENSE,,,"Jun 21, 2004",,,
00.039,Military Support of Community Projects,,DEPT OF DEFENSE,,,"Jun 21, 2004",,,
00.040,Navigation in Rivers and Harbors,,DEPT OF DEFENSE,,,"Jun 21, 2004",,,
00.041,Nuclear Disaster Planning and Survival,,DEPT OF DEFENSE,,,"Jun 21, 2004",,,
00.042,Recreation Facilities at Federal Water Resources Projects,,DEPT OF DEFENSE,,,"Jun 21, 2004",,,
00.043,Water Quality Control,,DEPT OF DEFENSE,,,"Jun 21, 2004",,,
00.044,Water Resources Development Program,,DEPT OF DEFENSE,,,"Jun 21, 2004",,,
00.045,Water Resources Investigation,,DEPT OF DEFENSE,,,"Jun 21, 2004",,,
00.046,Water Supply,,DEPT OF DEFENSE,,,"Jun 21, 2004",,,
00.047,Arts and Humanities Institutes,,,,,"Jun 21, 2004",,,
00.048,Disaster Assistance for Public Schools,,,,,"Jun 21, 2004",,,
00.049,Chronic Diseases and Health Problems of the Aged,,,,,"Jun 21, 2004",,,
00.050,Community Health Services for Chronically Ill and Aged,,,,,"Jun 21, 2004",,,
00.051,Community Immunization Program,,,,,"Jun 21, 2004",,,
00.052,Comprehensive Planning for Vocational Rehabilitation Services,,,,,"Jun 21, 2004",,,
00.053,Construction of Sewage Treatment Works in Appalachia,,,,,"Jun 21, 2004",,,
00.054,Consumer Education,,,,,"Jun 21, 2004",,,
00.055,Comprehensive Health Planning_Grants to States,,,,,"Jun 21, 2004",,,
00.056,Consumer Health Protection,,,,,"Jun 21, 2004",,,
00.057,Cooperative Research Program,,,,,"Jun 21, 2004",,,
00.058,Correctional Rehabilitation Study Program,,,,,"Jun 21, 2004",,,
00.059,Counseling and Guidance Institutes,,,,,"Jun 21, 2004",,,
00.060,Dental Health Programs in Communities,,,,,"Jun 21, 2004",,,
00.061,Comprehensive Health Planning,,,,,"Jun 21, 2004",,,
00.062,Development and Expansion of Community Mental Health Programs,,,,,"Jun 21, 2004",,,
00.063,Disaster Relief for Public Institutions of Higher Education,,,,,"Jun 21, 2004",,,
00.064,Drug Abuse Control,,,,,"Jun 21, 2004",,,
00.065,Educational Advisory Services and Data,,,,,"Jun 21, 2004",,,
00.066,Education and Training Facilities to Obtain Employment in Appalachian Region,,,,,"Jun 21, 2004",,,
00.067,Educationally Deprived Children,,,,,"Jun 21, 2004",,,
00.068,Educational Assistance for Federally Affected Areas,,,,,"Jun 21, 2004",,,
00.069,Environmental Engineering and Food Protection,,,,,"Jun 21, 2004",,,
00.070,Equipment to Improve Undergraduate Instruction,,,,,"Jun 21, 2004",,,
00.071,Environmental Sanitation,,,,,"Jun 21, 2004",,,
00.072,Faculty Development Programs in Educational Media,,,,,"Jun 21, 2004",,,
00.073,"Federal Credit Union Charter, Examination and Supervision",,,,,"Jun 21, 2004",,,
00.074,"Federal, State, and Private Programs of Low Interest Loans to Students in Institutions of Higher Education",,,,,"Jun 21, 2004",,,
00.075,Fellowships for Teachers,,,,,"Jun 21, 2004",,,
00.076,Full Utilization of Educational Talent,,,,,"Jun 21, 2004",,,
00.077,Grants for Improving State Hospitals for the Mentally Retarded,,,,,"Jun 21, 2004",,,
00.078,Grants for Public Health Practice and Research,,,,,"Jun 21, 2004",,,
00.079,Grants to State Educational Agencies to Improve Statistical Services,,,,,"Jun 21, 2004",,,
00.080,Handicapped Children_Assistance to State Schools,,,,,"Jun 21, 2004",,,
00.081,Handicapped Children and Youth Research and Demonstration,,,,,"Jun 21, 2004",,,
00.082,Appalachia Regional Development_Demonstration Health Facilities,,,,,"Jun 21, 2004",,,
00.083,Health Manpower Education and Utilization_Institutional Support,,,,,"Jun 21, 2004",,,
00.084,Health Referral Services for Armed Forces Medical Rejectees,,,,,"Jun 21, 2004",,,
00.085,Health Research Facilities and Resources_Construction,,,,,"Jun 21, 2004",,,
00.086,Injury Control,,,,,"Jun 21, 2004",,,
00.087,Institutes for Advanced Study,,,,,"Jun 21, 2004",,,
00.088,Institutes for Teachers of Disadvantaged Youth_National Program,,,,,"Jun 21, 2004",,,
00.089,Institutional Assistance Grant Program,,,,,"Jun 21, 2004",,,
00.090,Instructional Equipment Program,,,,,"Jun 21, 2004",,,
00.091,Intensive Community Immunization Program,,,,,"Jun 21, 2004",,,
00.092,Juvenile Delinquency Prevention and Control,,,,,"Jun 21, 2004",,,
00.093,Low Interest Loans to Students in Institutions of Higher Education,,,,,"Jun 21, 2004",,,
00.094,Medical Assistance to the Aged_Kerr-Mills Program,,,,,"Jun 21, 2004",,,
00.095,Medical Library Assistance,,,,,"Jun 21, 2004",,,
00.096,Mental Health Centers in Communities,,,,,"Jun 21, 2004",,,
00.097,Mental Health_Research and Training,,,,,"Jun 21, 2004",,,
00.098,Mental Retardation,,,,,"Jun 21, 2004",,,
00.099,Mental Retardation_Research Centers,,,,,"Jun 21, 2004",,,
