ID,FEDERALPROGRAMNAME,CFDAPREFIX,CFDAEXT
2145,NATIONAL BIOTERRORISM HOSPITAL PREPAREDNESS PROGRAM,93,889
2146,NURSE CORPS LOAN REPAYMENT PROGRAM,93,908
2147,FAMILY AND COMMUNITY VIOLENCE PREVENTION PROGRAM,93,910
2148,"RURAL HEALTH CARE SERVICES OUTREACH, RURAL HEALTH NETWORK DEVELOPMENT AND SMALL HEALTH CARE PROVIDER QUALITY IMPROVEMENT",93,912
2149,GRANTS TO STATES FOR OPERATION OF OFFICES OF RURAL HEALTH,93,913
2150,HIV EMERGENCY RELIEF PROJECT GRANTS,93,914
2151,HIV CARE FORMULA GRANTS,93,917
2152,GRANTS TO PROVIDE OUTPATIENT EARLY INTERVENTION SERVICES WITH RESPECT TO HIV DISEASE,93,918
2153,COOPERATIVE AGREEMENTS FOR STATE-BASED COMPREHENSIVE BREAST AND CERVICAL CANCER EARLY DETECTION PROGRAMS,93,919
2154,DISADVANTAGED HEALTH PROFESSIONS FACULTY LOAN REPAYMENT (FLRP) AND MINORITY FACULTY FELLOWSHIP PROGRAM (MFFP),93,923
2155,RYAN WHITE HIV/AIDS DENTAL REIMBURSEMENT AND COMMUNITY BASED DENTAL PARTNERSHIP GRANTS,93,924
2156,SCHOLARSHIPS FOR HEALTH PROFESSIONS STUDENTS FROM DISADVANTAGED BACKGROUNDS,93,925
2157,HEALTHY START INITIATIVE,93,926
2158,SPECIAL PROJECTS OF NATIONAL SIGNIFICANCE,93,928
2159,NATIVE HAWAIIAN HEALTH CARE SYSTEMS,93,932
2160,DEMONSTRATION PROJECTS FOR INDIAN HEALTH,93,933
2161,NATIONAL INSTITUTES OF HEALTH ACQUIRED IMMUNODEFICIENCY SYNDROME RESEARCH LOAN REPAYMENT PROGRAM,93,936
2162,COOPERATIVE AGREEMENTS TO SUPPORT COMPREHENSIVE SCHOOL HEALTH PROGRAMS TO PREVENT THE SPREAD OF HIV AND OTHER IMPORTANT HEALTH PROBLEMS,93,938
2163,HIV PREVENTION ACTIVITIES_NON-GOVERNMENTAL ORGANIZATION BASED,93,939
2164,HIV PREVENTION ACTIVITIES_HEALTH DEPARTMENT BASED,93,940
2165,"HIV DEMONSTRATION, RESEARCH, PUBLIC AND PROFESSIONAL EDUCATION PROJECTS",93,941
2166,"RESEARCH, PREVENTION, AND EDUCATION PROGRAMS ON LYME DISEASE IN THE UNITED STATES",93,942
2167,EPIDEMIOLOGIC RESEARCH STUDIES OF ACQUIRED IMMUNODEFICIENCY SYNDROME (AIDS) AND HUMAN IMMUNODEFICIENCY VIRUS (HIV) INFECTION IN SELECTED POPULATION GROUPS,93,943
2168,HUMAN IMMUNODEFICIENCY VIRUS (HIV)/ACQUIRED IMMUNODEFICIENCY VIRUS SYNDROME (AIDS) SURVEILLANCE,93,944
2169,ASSISTANCE PROGRAMS FOR CHRONIC DISEASE PREVENTION AND CONTROL,93,945
2170,COOPERATIVE AGREEMENTS TO SUPPORT STATE-BASED SAFE MOTHERHOOD AND INFANT HEALTH INITIATIVE PROGRAMS,93,946
2171,"TUBERCULOSIS DEMONSTRATION, RESEARCH, PUBLIC AND PROFESSIONAL EDUCATION",93,947
2172,BLOCK GRANTS FOR COMMUNITY MENTAL HEALTH SERVICES,93,958
2173,BLOCK GRANTS FOR PREVENTION AND TREATMENT OF SUBSTANCE ABUSE,93,959
2174,PREVENTION AND PUBLIC HEALTH FUND (PPHF) PUBLIC HEALTH TRAINEESHIPS,93,964
2175,COAL MINERS RESPIRATORY IMPAIRMENT TREATMENT CLINICS AND SERVICES,93,965
2176,PPHF GERIATRIC EDUCATION CENTERS,93,969
2177,HEALTH PROFESSIONS RECRUITMENT PROGRAM FOR INDIANS,93,970
2178,HEALTH PROFESSIONS PREPARATORY SCHOLARSHIP PROGRAM FOR INDIANS,93,971
2179,HEALTH PROFESSIONS SCHOLARSHIP PROGRAM,93,972
2180,FAMILY PLANNING_SERVICE DELIVERY IMPROVEMENT RESEARCH GRANTS,93,974
2181,NATIONAL ALL SCHEDULES PRESCRIPTION ELECTRONIC REPORTING GRANT,93,975
2182,PREVENTIVE HEALTH SERVICES_SEXUALLY TRANSMITTED DISEASES CONTROL GRANTS,93,977
2183,"PREVENTIVE HEALTH SERVICES_SEXUALLY TRANSMITTED DISEASES RESEARCH, DEMONSTRATIONS, AND PUBLIC INFORMATION AND EDUCATION GRANTS",93,978
2184,MENTAL HEALTH DISASTER ASSISTANCE AND EMERGENCY MENTAL HEALTH,93,982
2185,COOPERATIVE AGREEMENTS FOR STATE-BASED DIABETES CONTROL PROGRAMS AND EVALUATION OF SURVEILLANCE SYSTEMS,93,988
2186,INTERNATIONAL RESEARCH AND RESEARCH TRAINING,93,989
2187,NATIONAL HEALTH PROMOTION,93,990
2188,PREVENTIVE HEALTH AND HEALTH SERVICES BLOCK GRANT,93,991
2189,MATERNAL AND CHILD HEALTH SERVICES BLOCK GRANT TO THE STATES,93,994
2190,ADOLESCENT FAMILY LIFE_DEMONSTRATION PROJECTS,93,995
2191,"AUTISM AND OTHER DEVELOPMENTAL DISABILITIES, SURVEILLANCE, RESEARCH, AND PREVENTION",93,998
2192,RETIRED AND SENIOR VOLUNTEER PROGRAM,94,002
2193,STATE COMMISSIONS,94,003
2194,AMERICORPS,94,006
2195,PROGRAM DEVELOPMENT AND INNOVATION GRANTS,94,007
2196,FOSTER GRANDPARENT PROGRAM,94,011
2197,VOLUNTEERS IN SERVICE TO AMERICA,94,013
2198,SENIOR COMPANION PROGRAM,94,016
2199,SENIOR DEMONSTRATION PROGRAM,94,017
2200,SOCIAL INNOVATION FUND,94,019
2201,CNCS DISASTER RESPONSE COOPERATIVE AGREEMENT,94,020
2202,VOLUNTEER GENERATION FUND,94,021
2203,AMERICORPS VISTA TRAINING & LOGISTICS SUPPORT,94,023
2204,SOCIAL INNOVATION FUND PAY FOR SUCCESS,94,024
2205,OPERATION AMERICORPS,94,025
2206,NATIONAL SERVICE AND CIVIC ENGAGEMENT RESEARCH COMPETITION,94,026
2207,HIGH INTENSITY DRUG TRAFFICKING AREAS PROGRAM,95,001
2208,ANTI-DOPING ACTIVITIES,95,004
2209,DRUG COURT TRAINING AND TECHNICAL ASSISTANCE,95,005
2210,MODEL STATE DRUG LAWS INITIATIVE,95,006
2211,SOCIAL SECURITY_DISABILITY INSURANCE,96,001
2212,SOCIAL SECURITY_RETIREMENT INSURANCE,96,002
2213,SOCIAL SECURITY_SURVIVORS INSURANCE,96,004
2214,SUPPLEMENTAL SECURITY INCOME,96,006
2215,SOCIAL SECURITY_RESEARCH AND DEMONSTRATION,96,007
2216,SOCIAL SECURITY - WORK INCENTIVES PLANNING AND ASSISTANCE PROGRAM,96,008
2217,SOCIAL SECURITY STATE GRANTS FOR WORK INCENTIVES ASSISTANCE TO DISABLED BENEFICIARIES,96,009
2218,SPECIAL BENEFITS FOR CERTAIN WORLD WAR II VETERANS,96,020
2219,SOCIAL SECURITY ECONOMIC RECOVERY ACT PAYMENTS,96,021
2220,STATE AND LOCAL HOMELAND SECURITY NATIONAL TRAINING PROGRAM,97,005
2221,HOMELAND SECURITY PREPAREDNESS TECHNICAL ASSISTANCE PROGRAM,97,007
2222,NON-PROFIT SECURITY PROGRAM,97,008
2223,CUBAN/HAITIAN ENTRANT  PROGRAM,97,009
2224,CITIZENSHIP EDUCATION AND TRAINING,97,010
2225,BOATING SAFETY FINANCIAL ASSISTANCE,97,012
2226,NATIONAL FIRE ACADEMY TRAINING ASSISTANCE,97,018
2227,FLOOD INSURANCE,97,022
2228,COMMUNITY ASSISTANCE PROGRAM STATE SUPPORT SERVICES ELEMENT (CAP-SSSE),97,023
2229,EMERGENCY FOOD AND SHELTER NATIONAL BOARD PROGRAM,97,024
2230,NATIONAL URBAN SEARCH AND RESCUE (US&R) RESPONSE SYSTEM,97,025
2231,EMERGENCY MANAGEMENT INSTITUTE TRAINING ASSISTANCE,97,026
2232,EMERGENCY MANAGEMENT INSTITUTE (EMI)_INDEPENDENT STUDY PROGRAM,97,027
2233,EMERGENCY MANAGEMENT INSTITUTE (EMI)_RESIDENT EDUCATIONAL PROGRAM,97,028
2234,FLOOD MITIGATION ASSISTANCE,97,029
2235,COMMUNITY DISASTER LOANS,97,030
2236,CORA BROWN FUND,97,031
2237,CRISIS COUNSELING,97,032
2238,DISASTER LEGAL SERVICES,97,033
2239,DISASTER UNEMPLOYMENT ASSISTANCE,97,034
2240,DISASTER GRANTS - PUBLIC ASSISTANCE (PRESIDENTIALLY DECLARED DISASTERS),97,036
2241,HAZARD MITIGATION GRANT,97,039
2242,CHEMICAL STOCKPILE EMERGENCY PREPAREDNESS PROGRAM,97,040
2243,NATIONAL DAM SAFETY PROGRAM,97,041
2244,EMERGENCY MANAGEMENT PERFORMANCE GRANTS,97,042
2245,STATE FIRE TRAINING SYSTEMS GRANTS,97,043
2246,ASSISTANCE TO FIREFIGHTERS GRANT,97,044
2247,COOPERATING TECHNICAL PARTNERS,97,045
2248,FIRE MANAGEMENT ASSISTANCE GRANT,97,046
2249,PRE-DISASTER MITIGATION,97,047
2250,FEDERAL DISASTER ASSISTANCE TO INDIVIDUALS AND HOUSEHOLDS IN PRESIDENTIAL DECLARED DISASTER AREAS,97,048
2251,PRESIDENTIAL DECLARED DISASTER ASSISTANCE - DISASTER HOUSING OPERATIONS FOR INDIVIDUALS AND HOUSEHOLDS,97,049
2252,PRESIDENTIAL DECLARED DISASTER ASSISTANCE TO INDIVIDUALS AND HOUSEHOLDS - OTHER NEEDS,97,050
2253,EMERGENCY OPERATIONS CENTER,97,052
2254,CITIZENS-COMMUNITY RESILIENCE INNOVATION CHALLENGE,97,053
2255,INTEROPERABLE EMERGENCY COMMUNICATIONS,97,055
2256,PORT SECURITY GRANT PROGRAM,97,056
2257,INTERCITY BUS SECURITY GRANTS,97,057
2258,CENTERS FOR HOMELAND SECURITY,97,061
2259,SCIENTIFIC LEADERSHIP AWARDS,97,062
2260,HOMELAND SECURITY ADVANCED RESEARCH PROJECTS AGENCY,97,065
2261,HOMELAND SECURITY GRANT PROGRAM,97,067
2262,COMPETITIVE TRAINING GRANT,97,068
2263,MAP MODERNIZATION MANAGEMENT SUPPORT,97,070
2264,STATE HOMELAND SECURITY PROGRAM (SHSP),97,073
2265,RAIL AND TRANSIT SECURITY GRANT PROGRAM,97,075
2266,CYBERTIPLINE,97,076
2267,"HOMELAND SECURITY RESEARCH, DEVELOPMENT, TESTING, EVALUATION, AND DEMONSTRATION OF TECHNOLOGIES RELATED TO NUCLEAR THREAT DETECTION",97,077
2268,BUFFER ZONE PROTECTION PROGRAM (BZPP),97,078
2269,INFORMATION ANALYSIS INFRASTRUCTURE PROTECTION (IAIP) AND CRITICAL INFRASTRUCTURE MONITORING AND PROTECTION,97,080
2270,EARTHQUAKE CONSORTIUM,97,082
2271,STAFFING FOR ADEQUATE FIRE AND EMERGENCY RESPONSE (SAFER),97,083
2272,ALTERNATIVE HOUSING PILOT PROGRAM,97,087
2273,DISASTER ASSISTANCE PROJECTS,97,088
2274,DRIVER'S LICENSE SECURITY GRANT PROGRAM,97,089
2275,HOMELAND SECURITY BIOWATCH PROGRAM,97,091
2276,REPETITIVE FLOOD CLAIMS,97,092
2277,FIRE SERVICE HAZARDOUS MATERIALS PREPAREDNESS AND RESPONSE,97,093
2278,TRAINING RESOURCE AND DATA EXCHANGE,97,097
2279,NATIONAL FALLEN FIREFIGHTERS MEMORIAL,97,101
2280,DEGREES AT A DISTANCE PROGRAM,97,103
2281,"HOMELAND SECURITY-RELATED SCIENCE, TECHNOLOGY, ENGINEERING AND MATHEMATICS (HS STEM) CAREER DEVELOPMENT PROGRAM",97,104
2282,SECURING THE CITIES PROGRAM,97,106
2283,NATIONAL INCIDENT MANAGEMENT SYSTEM (NIMS),97,107
2284,"HOMELAND SECURITY, RESEARCH, TESTING, EVALUATION, AND DEMONSTRATION OF TECHNOLOGIES",97,108
2285,DISASTER HOUSING ASSISTANCE GRANT,97,109
2286,SEVERE REPETITIVE LOSS PROGRAM,97,110
2287,REGIONAL CATASTROPHIC PREPAREDNESS GRANT PROGRAM (RCPGP),97,111
2288,RAIL AND TRANSIT SECURITY GRANT PROGRAM (ARRA),97,113
2289,EMERGENCY FOOD AND SHELTER NATIONAL BOARD PROGRAM (ARRA),97,114
2290,ASSISTANCE TO FIREFIGHTERS GRANT (ARRA),97,115
2291,PORT SECURITY GRANT PROGRAM (ARRA),97,116
2292,BORDER INTEROPERABILITY DEMONSTRATION PROJECT,97,120
2293,BIO-PREPAREDNESS COLLABORATORY,97,122
2294,MULTI-STATE INFORMATION SHARING AND ANALYSIS CENTER,97,123
2295,INTEROPERABLE COMMUNICATIONS AND TRAINING PROJECT,97,124
2296,NATIONAL SPECIAL SECURITY EVENT,97,126
2297,CYBERSECURITY EDUCATION AND TRAINING ASSISTANCE PROGRAM (CETAP),97,127
2298,NATIONAL CYBER SECURITY AWARENESS,97,128
2299,SECURING CRITICAL UNDERGROUND INFRASTRUCTURE PILOT PROGRAM,97,129
2300,NATIONAL NUCLEAR FORENSICS EXPERTISE DEVELOPMENT PROGRAM,97,130
2301,EMERGENCY MANAGEMENT BASELINE ASSESSMENTS GRANT (EMBAG),97,131
2302,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,98,001
2303,COOPERATIVE DEVELOPMENT PROGRAM (CDP),98,002
2304,OCEAN FREIGHT REIMBURSEMENT PROGRAM (OFR),98,003
2305,NON-GOVERNMENTAL ORGANIZATION STRENGTHENING (NGO),98,004
2306,INSTITUTIONAL CAPACITY BUILDING (ICB),98,005
2307,FOREIGN ASSISTANCE TO AMERICAN SCHOOLS AND HOSPITALS ABROAD (ASHA),98,006
2308,FOOD FOR PEACE DEVELOPMENT ASSISTANCE PROGRAM (DAP),98,007
2309,FOOD FOR PEACE EMERGENCY PROGRAM (EP),98,008
2310,JOHN OGONOWSKI FARMER-TO-FARMER PROGRAM,98,009
2311,DENTON PROGRAM,98,010
2312,GLOBAL DEVELOPMENT ALLIANCE,98,011
2313,USAID DEVELOPMENT PARTNERSHIPS FOR UNIVERSITY COOPERATION AND DEVELOPMENT,98,012
3057,PANDEMIC LIVESTOCK INDEMNITY PROGRAM,10,138
3058,PANDEMIC MARKET VOLATILITY ASSISTANCE PROGRAM (PMVAP),10,183
3059,HAZARDOUS MATERIALS STATE INSPECTION (HMSI) GRANT,20,707
3060,RURAL ENERGY PILOT PROGRAM GRANT,10,379
3061,SPOT MARKET HOG PANDEMIC PROGRAM,10,144
3062,BUREAU OF SOUTH AND CENTRAL ASIAN AFFAIRS,19,108
3063,FOOD SUPPLY CHAIN GUARANTEED LOAN PROGRAM,10,380
3064,PAST CONFLICT ACCOUNTING - VIETNAM,12,015
3065,ASSESSED CONTRIBUTIONS TO INTERNATIONAL ORGANIZATIONS,19,792
3066,OUTREACH EDUCATION AND TECHNICAL ASSISTANCE,10,147
3067,SECTION 8 NEW CONSTRUCTION AND SUBSTANTIAL REHABILITATION,14,182
3241,INTELLIGENCE COMMUNITY CENTERS FOR ACADEMIC EXCELLENCE,54,001
2321,COTTON GINNING COST SHARE PROGRAM,10,118
2322,PARTICIPANT RESEARCH INNOVATION LABORATORY FOR ENHANCING WIC SERVICES,10,540
2323,CHILD NUTRITION-TECHNOLOGY INNOVATION GRANT,10,541
2324,PARTNERSHIP AGREEMENTS,10,699
2325,STEWARDSHIP AGREEMENTS,10,701
2326,ALASKA NATIONAL INTEREST LANDS CONSERVATION ACT (ANILCA)AGREEMENTS,10,702
2327,COOPERATIVE FIRE PROTECTION AGREEMENT,10,703
2328,LAW ENFORCEMENT AGREEMENTS,10,704
2329,COOPERATIVE FOREST ROAD AGREEMENTS,10,705
2330,"STATISTICAL, RESEARCH, AND METHODOLOGY ASSISTANCE",11,016
2331,OCEAN ACIDIFICATION PROGRAM (OAP),11,017
2332,U.S. MILITARY ACADEMY ATHLETIC PROGRAMS AT WEST POINT,12,432
2333,GENCYBER GRANTS PROGRAM,12,903
2334,UPPER SAN PEDRO PARTNERSHIP SUPPORT,12,987
2335,HOUSING TRUST FUND,14,275
2336,YOUTH HOMELESSNESS DEMONSTRATION PROGRAM,14,276
2337,VETERANS HOME REHABILITATION PROGRAM,14,278
2338,HUD MULTIFAMILY PFS PILOT,14,329
2339,DOI NATIONAL FIRE PLAN,15,158
2340,CULTURAL RESOURCES MANAGEMENT,15,159
2341,JOINT ABANDONED MINE LAND RECLAMATION ECONOMIC DEVELOPMENT PILOT,15,260
2342,ALASKA NATIVE SCIENCE AND ENGINEERING,15,442
2343,IMPLEMENTATION OF THE TAOS PUEBLO INDIAN WATER RIGHTS SETTLEMENT,15,565
2344,COOPERATIVE ECOSYSTEM STUDIES UNITS,15,678
2345,COMBATING WILDLIFE TRAFFICKING,15,679
2346,FEDERAL HISTORIC PRESERVATION TAX INCENTIVE,15,961
2347,NATIONAL WILD AND SCENIC RIVERS SYSTEM,15,962
2348,WATER USE AND DATA RESEARCH,15,981
2349,OVW RESEARCH AND EVALUATION PROGRAM,16,026
2350,NATIONAL CLEARINGHOUSE ON SEXUAL ASSAULT OF AMERICAN INDIAN AND ALASKA NATIVE WOMEN,16,027
2351,"RESOURCE CENTER ON WORKPLACE RESPONSE TO DOMESTIC VIOLENCE, DATING VIOLENCE, SEXUAL ASSAULT, AND STALKING",16,028
2352,OFFICE ON VIOLENCE AGAINST WOMEN SPECIAL PROJECTS,16,029
2353,DOMESTIC TRAFFICKING VICTIM PROGRAM,16,834
2354,BODY WORN CAMERA POLICY AND IMPLEMENTATION,16,835
2355,INDIGENT DEFENSE,16,836
2356,BUILDING COMMUNITY TRUST,16,837
2357,APPRENTICESHIP USA GRANTS,17,285
2358,DEPARTMENT OF LABOR CHIEF EVALUATION OFFICE,17,791
2359,TRANS-SAHARA COUNTERTERRORISM PARTNERSHIP (TSCTP),19,222
2360,FEDERAL LANDS ACCESS PROGRAM,20,224
2361,PUBLIC TRANSPORTATION INNOVATION,20,530
2362,TECHNICAL ASSISTANCE AND WORKFORCE DEVELOPMENT,20,531
2363,NATIONALLY SIGNIFICANT FREIGHT AND HIGHWAY PROJECTS,20,934
2364,SCALEUP AMERICA,59,068
2365,SBA EMERGING LEADERS INITIATIVE,59,069
2366,VETERANS EMPLOYMENT PAY FOR SUCCESS PROGRAM,64,052
2367,PAYMENTS TO STATES FOR PROGRAMS TO PROMOTE THE HIRING AND RETENTION OF NURSES AT STATE VETERANS HOMES,64,053
2368,MULTIPURPOSE GRANTS TO STATES AND TRIBES,66,204
2369,TRIBAL ECOAMBASSADORS,66,954
2370,ENERGY POLICY AND SYSTEMS ANALYSIS,81,250
2371,PRESIDENTIAL AND CONGRESSIONAL ACADEMIES FOR AMERICAN HISTORY AND CIVICS,84,422
2372,SUPPORTING EFFECTIVE EDUCATOR DEVELOPMENT PROGRAM,84,423
2373,BUILDING CAPACITY OF THE PUBLIC HEALTH SYSTEM TO ADDRESS EBOLATHROUGH NATIONAL NONPROFIT ORGANIZATIONS,93,466
2374,TRANSFORMING CLINICAL PRACTICE INITIATIVE (TCPI) SUPPORT AND ALIGNMENT NETWORK (SAN) 2.0,93,651
2375,OPIOID STR,93,788
2376,CAPACITY BUILDING ASSISTANCE (CBA) FOR HIGH-IMPACT HIV PREVENTION,93,834
2377,STRENGTHENING THE PUBLIC HEALTH SYSTEM IN US-AFFILIATED PACIFIC ISLANDS (NON-PPHF),93,874
2378,ASSISTANCE FOR ORAL DISEASE PREVENTION AND CONTROL,93,875
2379,ANTIMICROBIAL RESISTANCE SURVEILLANCE IN RETAIL FOOD SPECIMENS,93,876
2380,"AUTISM COLLABORATION, ACCOUNTABILITY, RESEARCH, EDUCATION, AND SUPPORT",93,877
2381,ENHANCE THE ABILITY OF EMERGENCY MEDICAL SERVICES (EMS) TO TRANSPORT PATIENTS WITH HIGHLY INFECTIOUS DISEASES (HID),93,878
2382,THE HEALTH INSURANCE ENFORCEMENT AND CONSUMER PROTECTIONS GRANT PROGRAM,93,881
2383,STANDARDS EXPLORATION AWARD,93,883
2384,HEALTH CARE AND PUBLIC HEALTH (HPH) SECTORINFORMATION SHARING AND ANALYSIS ORGANIZATION (ISAO),93,893
2385,"CANCER PREVENTION AND CONTROL PROGRAMS FOR STATE, TERRITORIAL AND TRIBAL ORGANIZATIONS",93,898
2386,ONE-TIME FUNDING IN SUPPORT OF THE VERMONT ALL-PAYER ACO MODEL,93,961
2387,THE ZIKA HEALTH CARE SERVICES PROGRAM,93,966
2388,FUNDING IN SUPPORT OF THE PENNSYLVANIA RURAL HEALTH MODEL,93,968
2389,PRIMARY CARE MEDICINE AND DENTISTRY CLINICIAN EDUCATOR CAREER DEVELOPMENT AWARDS,93,976
2390,ASSISTED OUTPATIENT TREATMENT,93,997
2391,SEPTEMBER 11TH NATIONAL DAY OF SERVICE AND REMEMBRANCE GRANTS,94,012
2392,MARTIN LUTHER KING JR DAY OF SERVICE GRANTS,94,014
2393,FINANCIAL ASSISTANCE FOR COUNTERING VIOLENT EXTREMISM,97,132
2394,PREPARING FOR EMERGING THREATS AND HAZARDS,97,133
2395,ACER ACCESS DEVELOPMENT PROGRAM,10,174
2396,ENHANCING AGRICULTURAL OPPORTUNITIES FOR MILITARY VETERANS COMPETITIVE GRANTS PROGRAM,10,334
2397,SMITH-LEVER FUNDING (VARIOUS PROGRAMS),10,511
2398,AGRICULTURE EXTENSION AT 1890 LAND-GRANT INSTITUTIONS,10,512
2399,1890 FACILITIES GRANTS PROGRAM,10,513
2400,EXPANDED FOOD AND NUTRITION EDUCATION PROGRAM,10,514
2401,RENEWABLE RESOURCES EXTENSION ACT AND NATIONAL FOCUS FUND PROJECTS,10,515
2402,RURAL HEALTH AND SAFETY EDUCATION COMPETITIVE GRANTS PROGRAM,10,516
2403,TRIBAL COLLEGES EXTENSION PROGRAMS,10,517
2404,FOOD ANIMAL RESIDUE AVOIDANCE DATABANK,10,518
2405,AGRICULTURE RISK MANAGEMENT EDUCATION PARTNERSHIPS COMPETITIVE GRANTS PROGRAM,10,520
2406,"CHILDREN, YOUTH AND FAMILIES AT-RISK",10,521
2407,CACFP TRAINING GRANTS,10,536
2408,SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM (SNAP) EMPLOYMENT AND TRAINING (E&T) DATA AND TECHNICAL ASSISTANCE GRANTS,10,537
2409,MOBILE TECHNOLOGY FOR CHILD NUTRITION INNOVATION LABORATORY,10,538
2410,RURAL ENERGY SAVINGS PROGRAM (RESP),10,751
2411,STATE ALTERNATIVE PLAN PROGRAM,11,019
2412,FISHER HOUSE FOUNDATION,12,460
2413,OFFICE FOR REINTEGRATION PROGRAMS,12,582
2414,CIVIL AIR PATROL PROGRAM,12,840
2415,OPA RESEARCH FELLOWSHIP PROGRAM,12,888
2416,CYBERSECURITY CORE CURRICULUM,12,905
2417,LEAD-BASED PAINT CAPITAL FUND PROGRAM,14,888
2418,BIA WILDLAND URBAN INTERFACE COMMUNITY FIRE ASSISTANCE,15,160
2419,TAKE PRIDE,15,444
2420,UPPER KLAMATH BASIN HYDROLIC ANALYSES,15,566
2421,COLORADO RIVER CONSERVATION SYSTEM (PILOT)),15,567
2422,MEXICAN WOLF RECOVERY,15,680
2423,COOPERATIVE AGRICULTURE,15,681
2424,COMPREHENSIVE OPIOID ABUSE SITE-BASED PROGRAM,16,838
2425,CYBER CAPACITY BUILDING,19,035
2426,RESTORATION AND ENHANCEMENT,20,324
2427,CONSOLIDATED RAIL INFRASTRUCTURE AND SAFETY IMPROVEMENTS,20,325
2428,FEDERAL-STATE PARTNERSHIP FOR STATE OF GOOD REPAIR,20,326
2429,PHMSA PIPELINE SAFETY UNDERGROUND NATURAL GAS STORAGE GRANT,20,725
2430,PORT OF GUAM IMPROVEMENT ENTERPRISE PROGRAM,20,822
2431,EQUITABLE  SHARING,21,016
2432,RESEARCH AND DEVELOPMENT,64,054
2433,GULF COAST ECOSYSTEM RESTORATION COUNCIL COMPREHENSIVE PLAN COMPONENT,66,130
2434,STUDENT SUPPORT AND ACADEMIC ENRICHMENT PROGRAM,84,424
2435,SHARED SERVICES,90,199
2436,DELTA CREATIVE PLACE-MAKING PILOT INITIATIVE,90,203
2437,STATES' ECONOMIC DEVELOPMENT ASSISTANCE PROGRAM,90,204
2438,NATIONAL COUNCIL ON DISABILITY,92,002
2439,21ST CENTURY CURES ACT - BEAU BIDEN CANCER MOONSHOT,93,353
2440,PUBLIC HEALTH EMERGENCY RESPONSE:  COOPERATIVE AGREEMENT FOR EMERGENCY RESPONSE: PUBLIC HEALTH CRISIS RESPONSE,93,354
2441,CERTIFIED HEALTH IT SURVEILLANCE CAPACITY AND INFRASTRUCTURE IMPROVEMENT COOPERATIVE AGREEMENT PROGRAM,93,355
2442,FLEXIBLE ALTERNATIVES FOR STATE TRANSFORMATION MODEL,93,363
2443,STATE ACTIONS TO IMPROVE ORAL HEALTH OUTCOMES AND PARTNER ACTIONS TO IMPROVE ORAL HEALTH OUTCOMES,93,366
2444,21ST CENTURY CURES ACT - PRECISION MEDICINE INITIATIVE,93,368
2445,21ST CENTURY CURES ACT: REGENERATIVE MEDICINE INITIATIVE,93,370
2446,21ST CENTURY CURES ACT - BRAIN RESEARCH THROUGH ADVANCING INNOVATIVE NEUROTECHNOLOGIES,93,372
2447,"ACTIVITIES TO SUPPORT STATE, TRIBAL, LOCAL AND TERRITORIAL (STLT) HEALTH DEPARTMENT RESPONSE TO PUBLIC HEALTH OR HEALTHCARE CRISES",93,391
2448,THE STATE FLEXIBILITY TO STABILIZE THE MARKET GRANT PROGRAM,93,413
2449,1332 STATE INNOVATION WAIVERS,93,423
2450,CDC UNDERGRADUATE PUBLIC HEALTH SCHOLARS PROGRAM (CUPS): A PUBLIC HEALTH EXPERIENCE TO EXPOSE UNDERGRADUATES INTERESTED IN MINORITY HEALTH TO PUBLIC HEALTH AND THE PUBLIC HEALTH PROFESSIONS,93,456
2451,TANF POLICY ACADEMY FOR INNOVATIVE EMPLOYMENT STRATEGIES (PAIES),93,475
2452,TRIBAL PUBLIC HEALTH CAPACITY BUILDING AND QUALITY IMPROVEMENT UMBRELLA COOPERATIVE AGREEMENT,93,772
2453,CARA ACT – COMPREHENSIVE ADDICTION AND RECOVERY ACT OF 2016,93,799
2454,CDC'S COLLABORATION WITH ACADEMIA TO STRENGTHEN PUBLIC HEALTH,93,967
2455,INCREASING PUBLIC AWARENESS AND PROVIDER EDUCATION ABOUT PRIMARY IMMUNODEFICIENCY DISEASE,93,980
2456,"IMPROVING STUDENT HEALTH AND ACADEMIC ACHIEVEMENT THROUGH NUTRITION, PHYSICAL ACTIVITY AND THE MANAGEMENT OF CHRONIC CONDITIONS IN SCHOOLS",93,981
2457,MARKET TRANSPARENCY PROJECT FOR HEALTH IT INTEROPERABILITY SERVICES COOPERATIVE AGREEMENT PROGRAM,93,983
2458,MEDICARE ACCESS AND CHIP REAUTHORIZATION ACT (MACRA) FUNDING OPPORTUNITY: MEASURE DEVELOPMENT FOR THE QUALITY PAYMENT PROGRAM,93,986
2459,COMMISSION INVESTMENT FUND,94,008
2460,PRESIDENTIAL RESIDENCE PROTECTION SECURITY GRANT,97,134
2541,COMMODITY CREDIT CORPORATION AUDIT OF FINANCIAL STATEMENTS,10,074
2542,PRICE LOSS COVERAGE,10,112
2543,AGRICULTURE RISK COVERAGE PROGRAM,10,113
2544,THE MARGIN PROTECTION PROGRAM,10,116
2545,2017 WILDFIRES AND HURRICANES INDEMNITY PROGRAM,10,120
2546,CORONAVIRUS FOOD ASSISTANCE PROGRAM (CFAP),10,130
2547,MICRO-GRANTS FOR FOOD SECURITY PROGRAM,10,179
2548,AGRICULTURAL GENOME TO PHENOME INITIATIVE,10,332
